portfolio,metric,metric_label,value
"Full Data - MACD(6,26,12)",trade_win_rate,Trade win rate,0.39344262295081966
Full Data - Buy & Hold,trade_win_rate,Trade win rate,
Test - Ito,trade_win_rate,Trade win rate,0.6666666666666666
"Test - MACD(6,26,12)",trade_win_rate,Trade win rate,0.4166666666666667
Test - Buy & Hold,trade_win_rate,Trade win rate,
Full Data - Ito,avg_trade_return,Average trade return,0.06309553646629985
"Full Data - MACD(6,26,12)",avg_trade_return,Average trade return,0.025516139568696528
Full Data - Buy & Hold,avg_trade_return,Average trade return,
Test - Ito,avg_trade_return,Average trade return,0.1616340643678271
"Test - MACD(6,26,12)",avg_trade_return,Average trade return,0.05472967205488153
Test - Buy & Hold,avg_trade_return,Average trade return,
Full Data - Ito,median_trade_return,Median trade return,0.0011148994802890888
"Full Data - MACD(6,26,12)",median_trade_return,Median trade return,-0.008568162785484112
Full Data - Buy & Hold,median_trade_return,Median trade return,
Test - Ito,median_trade_return,Median trade return,0.053686143210283754
"Test - MACD(6,26,12)",median_trade_return,Median trade return,-0.011035236849108565
Test - Buy & Hold,median_trade_return,Median trade return,
Full Data - Ito,best_trade,Best trade,2.0599139316734787
"Full Data - MACD(6,26,12)",best_trade,Best trade,0.5728878239015711
Full Data - Buy & Hold,best_trade,Best trade,
Test - Ito,best_trade,Best trade,2.0599139316734787
"Test - MACD(6,26,12)",best_trade,Best trade,0.5728878239015711
Test - Buy & Hold,best_trade,Best trade,
Full Data - Ito,worst_trade,Worst trade,-0.11511821528875332
"Full Data - MACD(6,26,12)",worst_trade,Worst trade,-0.10229844895089646
Full Data - Buy & Hold,worst_trade,Worst trade,
Test - Ito,worst_trade,Worst trade,-0.11511821528875332
"Test - MACD(6,26,12)",worst_trade,Worst trade,-0.10229844895089646
Test - Buy & Hold,worst_trade,Worst trade,
Full Data - Ito,avg_holding_days,Average holding days,11.68
"Full Data - MACD(6,26,12)",avg_holding_days,Average holding days,12.795081967213115
Full Data - Buy & Hold,avg_holding_days,Average holding days,
Test - Ito,avg_holding_days,Average holding days,18.933333333333334
"Test - MACD(6,26,12)",avg_holding_days,Average holding days,14.027777777777779
Test - Buy & Hold,avg_holding_days,Average holding days,
Full Data - Ito,median_holding_days,Median holding days,3.5
"Full Data - MACD(6,26,12)",median_holding_days,Median holding days,12.0
Full Data - Buy & Hold,median_holding_days,Median holding days,
Test - Ito,median_holding_days,Median holding days,5.0
"Test - MACD(6,26,12)",median_holding_days,Median holding days,12.0
Test - Buy & Hold,median_holding_days,Median holding days,
Full Data - Ito,expectancy_per_trade,Expectancy per trade,0.06309553646629987
"Full Data - MACD(6,26,12)",expectancy_per_trade,Expectancy per trade,0.025516139568696524
Full Data - Buy & Hold,expectancy_per_trade,Expectancy per trade,
Test - Ito,expectancy_per_trade,Expectancy per trade,0.16163406436782718
"Test - MACD(6,26,12)",expectancy_per_trade,Expectancy per trade,0.05472967205488154
Test - Buy & Hold,expectancy_per_trade,Expectancy per trade,
Full Data - Ito,avg_trade_points,Average trade points,2.6891418999999983
"Full Data - MACD(6,26,12)",avg_trade_points,Average trade points,1.430560737704918
Full Data - Buy & Hold,avg_trade_points,Average trade points,
Test - Ito,avg_trade_points,Average trade points,8.074106666666664
"Test - MACD(6,26,12)",avg_trade_points,Average trade points,4.260827083333333
Test - Buy & Hold,avg_trade_points,Average trade points,
Full Data - Ito,median_trade_points,Median trade points,0.16641249999999033
"Full Data - MACD(6,26,12)",median_trade_points,Median trade points,-0.2346099999999992
Full Data - Buy & Hold,median_trade_points,Median trade points,
Test - Ito,median_trade_points,Median trade points,4.212875
"Test - MACD(6,26,12)",median_trade_points,Median trade points,-0.2501150000000004
Test - Buy & Hold,median_trade_points,Median trade points,
Full Data - Ito,best_trade_points,Best trade points,81.81934999999999
"Full Data - MACD(6,26,12)",best_trade_points,Best trade points,80.8185
Full Data - Buy & Hold,best_trade_points,Best trade points,
Test - Ito,best_trade_points,Best trade points,81.81934999999999
"Test - MACD(6,26,12)",best_trade_points,Best trade points,80.8185
Test - Buy & Hold,best_trade_points,Best trade points,
Full Data - Ito,worst_trade_points,Worst trade points,-17.203500000000002
"Full Data - MACD(6,26,12)",worst_trade_points,Worst trade points,-15.062450000000005
Full Data - Buy & Hold,worst_trade_points,Worst trade points,
Test - Ito,worst_trade_points,Worst trade points,-17.203500000000002
"Test - MACD(6,26,12)",worst_trade_points,Worst trade points,-15.062450000000005
Test - Buy & Hold,worst_trade_points,Worst trade points,
